split,instruction_type,count,percentage
train,analyze,1453,4.01
train,classify,568,1.57
train,other,18913,52.25
train,reasoning,6411,17.71
train,summarize,1005,2.78
train,translate,1373,3.79
train,write,6476,17.89
test,analyze,78,3.9
test,classify,26,1.3
test,other,1085,54.25
test,reasoning,328,16.4
test,summarize,54,2.7
test,translate,78,3.9
test,write,351,17.55
full,analyze,1531,4.01
full,classify,594,1.56
full,other,19998,52.35
full,reasoning,6739,17.64
full,summarize,1059,2.77
full,translate,1451,3.8
full,write,6827,17.87
